Date and Time Run #1,Time (s) Run #1,Position (m) Run #1,Force (N) Run #1,Speed (mm/min) Run #1,Date and Time Run #2,Time (s) Run #2,Position (m) Run #2,Force (N) Run #2,Speed (mm/min) Run #2,Date and Time Run #3,Time (s) Run #3,Position (m) Run #3,Force (N) Run #3,Speed (mm/min) Run #3,Date and Time Run #4,Time (s) Run #4,Position (m) Run #4,Force (N) Run #4,Speed (mm/min) Run #4,Date and Time Run #5,Time (s) Run #5,Position (m) Run #5,Force (N) Run #5,Speed (mm/min) Run #5,Date and Time Run #6,Time (s) Run #6,Position (m) Run #6,Force (N) Run #6,Speed (mm/min) Run #6
03/04/2024 17:10:36,4.5,0,5,0,03/04/2024 17:11:13,4.5,0,8,0,03/04/2024 17:11:58,4.5,0,13,0,03/04/2024 17:12:43,4.5,0,17,0,03/04/2024 17:13:29,4.5,0,11,0,03/04/2024 17:14:15,4.5,0,19,0
03/04/2024 17:10:36,4.6,0,0,0,03/04/2024 17:11:13,4.6,0,0,0,03/04/2024 17:11:58,4.6,0,0,0,03/04/2024 17:12:43,4.6,0,0,0,03/04/2024 17:13:29,4.6,0,0,0,03/04/2024 17:14:15,4.6,0,0,0
03/04/2024 17:10:36,4.7,0,0,0,03/04/2024 17:11:13,4.7,0,0,0,03/04/2024 17:11:58,4.7,0,0,0,03/04/2024 17:12:43,4.7,0,0,0,03/04/2024 17:13:29,4.7,0,0,0,03/04/2024 17:14:15,4.7,0,1,0
03/04/2024 17:10:36,4.8,0,0,0,03/04/2024 17:11:13,4.8,0,0,0,03/04/2024 17:11:58,4.8,0,0,0,03/04/2024 17:12:43,4.8,0,0,0,03/04/2024 17:13:29,4.8,0,0,0,03/04/2024 17:14:15,4.8,0,1,0
03/04/2024 17:10:36,4.9,0,0,0,03/04/2024 17:11:13,4.9,0,0,0,03/04/2024 17:11:58,4.9,0,0,0,03/04/2024 17:12:43,4.9,0,0,0,03/04/2024 17:13:29,4.9,0,0,0,03/04/2024 17:14:15,4.9,0,0,0
03/04/2024 17:10:37,5,0,0,0,03/04/2024 17:11:14,5,0,0,0,03/04/2024 17:11:59,5,0,0,0,03/04/2024 17:12:44,5,0,0,0,03/04/2024 17:13:30,5,0,0,0,03/04/2024 17:14:16,5,0,1,0
03/04/2024 17:10:37,5.1,0,0,0,03/04/2024 17:11:14,5.1,0,0,0,03/04/2024 17:11:59,5.1,0,0,0,03/04/2024 17:12:44,5.1,0,0,0,03/04/2024 17:13:30,5.1,0,0,0,03/04/2024 17:14:16,5.1,0,1,0
03/04/2024 17:10:37,5.2,0,0,0,03/04/2024 17:11:14,5.2,0,0,0,03/04/2024 17:11:59,5.2,0,0,0,03/04/2024 17:12:44,5.2,0,0,0,03/04/2024 17:13:30,5.2,0,0,0,03/04/2024 17:14:16,5.2,0,0,0
03/04/2024 17:10:37,5.3,0,0,0,03/04/2024 17:11:14,5.3,0,0,0,03/04/2024 17:11:59,5.3,0,0,0,03/04/2024 17:12:44,5.3,0,0,0,03/04/2024 17:13:30,5.3,0,0,0,03/04/2024 17:14:16,5.3,0,0,0
03/04/2024 17:10:37,5.4,0,0,0,03/04/2024 17:11:14,5.4,0,0,0,03/04/2024 17:11:59,5.4,0,0,0,03/04/2024 17:12:44,5.4,0,0,0,03/04/2024 17:13:30,5.4,0,0,0,03/04/2024 17:14:16,5.4,0,0,0
03/04/2024 17:10:37,5.5,0,0,0,03/04/2024 17:11:14,5.5,0,0,0,03/04/2024 17:11:59,5.5,0,0,0,03/04/2024 17:12:44,5.5,0,0,0,03/04/2024 17:13:30,5.5,0,0,0,03/04/2024 17:14:16,5.5,0,1,0
03/04/2024 17:10:37,5.6,0,0,0,03/04/2024 17:11:14,5.6,0,0,0,03/04/2024 17:11:59,5.6,0,0,0,03/04/2024 17:12:44,5.6,0,0,0,03/04/2024 17:13:30,5.6,0,0,0,03/04/2024 17:14:16,5.6,0,1,0
03/04/2024 17:10:37,5.7,0,0,0,03/04/2024 17:11:14,5.7,0,0,0,03/04/2024 17:11:59,5.7,0,0,0,03/04/2024 17:12:44,5.7,0,0,0,03/04/2024 17:13:30,5.7,0,0,0,03/04/2024 17:14:16,5.7,0,0,0
03/04/2024 17:10:37,5.8,0,0,0,03/04/2024 17:11:14,5.8,0,0,0,03/04/2024 17:11:59,5.8,0,0,0,03/04/2024 17:12:44,5.8,0,1,0,03/04/2024 17:13:30,5.8,0,0,0,03/04/2024 17:14:16,5.8,0,0,0
03/04/2024 17:10:37,5.9,0,0,0,03/04/2024 17:11:14,5.9,0,1,0,03/04/2024 17:11:59,5.9,0,0,0,03/04/2024 17:12:44,5.9,0,0,0,03/04/2024 17:13:30,5.9,0,0,0,03/04/2024 17:14:16,5.9,0,0,0
03/04/2024 17:10:38,6,0,0,0,03/04/2024 17:11:15,6,0,0,0,03/04/2024 17:12:00,6,0,0,0,03/04/2024 17:12:45,6,0,0,0,03/04/2024 17:13:31,6,0,0,0,03/04/2024 17:14:17,6,0,1,0
03/04/2024 17:10:38,6.1,0,0,0,03/04/2024 17:11:15,6.1,0,0,0,03/04/2024 17:12:00,6.1,0,0,0,03/04/2024 17:12:45,6.1,0,0,0,03/04/2024 17:13:31,6.1,0,0,0,03/04/2024 17:14:17,6.1,0,0,0
03/04/2024 17:10:38,6.2,0,0,0,03/04/2024 17:11:15,6.2,0,0,0,03/04/2024 17:12:00,6.2,0,0,0,03/04/2024 17:12:45,6.2,0,0,0,03/04/2024 17:13:31,6.2,0,0,0,03/04/2024 17:14:17,6.2,0,0,0
03/04/2024 17:10:38,6.3,0,0,0,03/04/2024 17:11:15,6.3,0,0,0,03/04/2024 17:12:00,6.3,0,0,0,03/04/2024 17:12:45,6.3,0,0,0,03/04/2024 17:13:31,6.3,0,0,0,03/04/2024 17:14:17,6.3,0,0,0
03/04/2024 17:10:38,6.4,0,0,0,03/04/2024 17:11:15,6.4,0,0,0,03/04/2024 17:12:00,6.4,0,0,0,03/04/2024 17:12:45,6.4,0,0,0,03/04/2024 17:13:31,6.4,0,0,0,03/04/2024 17:14:17,6.4,0,0,0
03/04/2024 17:10:38,6.5,0,0,0,03/04/2024 17:11:15,6.5,0,0,0,03/04/2024 17:12:00,6.5,0,0,0,03/04/2024 17:12:45,6.5,0,0,0,03/04/2024 17:13:31,6.5,0,0,0,03/04/2024 17:14:17,6.5,0,0,0
03/04/2024 17:10:38,6.6,0,0,0,03/04/2024 17:11:15,6.6,0,0,0,03/04/2024 17:12:00,6.6,0,0,0,03/04/2024 17:12:45,6.6,0,0,0,03/04/2024 17:13:31,6.6,0,0,0,03/04/2024 17:14:17,6.6,0,0,0
03/04/2024 17:10:38,6.7,0,0,0,03/04/2024 17:11:15,6.7,0,0,0,03/04/2024 17:12:00,6.7,0,0,0,03/04/2024 17:12:45,6.7,0,0,0,03/04/2024 17:13:31,6.7,0,0,0,03/04/2024 17:14:17,6.7,0,0,0
03/04/2024 17:10:38,6.8,0,0,0,03/04/2024 17:11:15,6.8,0,0,0,03/04/2024 17:12:00,6.8,0,0,0,03/04/2024 17:12:45,6.8,0,0,0,03/04/2024 17:13:31,6.8,0,0,0,03/04/2024 17:14:17,6.8,0,0,0
03/04/2024 17:10:38,6.9,0,0,0,03/04/2024 17:11:15,6.9,0,0,0,03/04/2024 17:12:00,6.9,0,0,0,03/04/2024 17:12:45,6.9,0,1,0,03/04/2024 17:13:31,6.9,0,0,0,03/04/2024 17:14:17,6.9,0,0,0
03/04/2024 17:10:39,7,0,0,0,03/04/2024 17:11:16,7,0,0,0,03/04/2024 17:12:01,7,0,1,0,03/04/2024 17:12:46,7,0,0,0,03/04/2024 17:13:32,7,0,0,0,03/04/2024 17:14:18,7,0,0,0
03/04/2024 17:10:39,7.1,0,0,0,03/04/2024 17:11:16,7.1,0,1,0,03/04/2024 17:12:01,7.1,0,0,0,03/04/2024 17:12:46,7.1,0,0,0,03/04/2024 17:13:32,7.1,0,0,0,03/04/2024 17:14:18,7.1,0,0,0
03/04/2024 17:10:39,7.2,0,0,0,03/04/2024 17:11:16,7.2,0,0,0,03/04/2024 17:12:01,7.2,0,0,0,03/04/2024 17:12:46,7.2,0,0,0,03/04/2024 17:13:32,7.2,0,0,0,03/04/2024 17:14:18,7.2,0,0,0
03/04/2024 17:10:39,7.3,0,0,0,03/04/2024 17:11:16,7.3,0,0,0,03/04/2024 17:12:01,7.3,0,0,0,03/04/2024 17:12:46,7.3,0,0,0,03/04/2024 17:13:32,7.3,0,0,0,03/04/2024 17:14:18,7.3,0,0,0
03/04/2024 17:10:39,7.4,0,0,0,03/04/2024 17:11:16,7.4,0,0,0,03/04/2024 17:12:01,7.4,0,0,0,03/04/2024 17:12:46,7.4,0,0,0,03/04/2024 17:13:32,7.4,0,0,0,03/04/2024 17:14:18,7.4,0,0,0
03/04/2024 17:10:39,7.5,0,0,0,03/04/2024 17:11:16,7.5,0,0,0,03/04/2024 17:12:01,7.5,0,0,0,03/04/2024 17:12:46,7.5,0,0,0,03/04/2024 17:13:32,7.5,0,0,0,03/04/2024 17:14:18,7.5,0,0,0
03/04/2024 17:10:39,7.6,0,0,0,03/04/2024 17:11:16,7.6,0,2,0,03/04/2024 17:12:01,7.6,0,5,0,03/04/2024 17:12:46,7.6,0,5,0,03/04/2024 17:13:32,7.6,0,11,0,03/04/2024 17:14:18,7.6,0,3,0
03/04/2024 17:10:39,7.7,0,6,0,03/04/2024 17:11:16,7.7,0,9,0,03/04/2024 17:12:01,7.7,0,13,0,03/04/2024 17:12:46,7.7,0,14,0,03/04/2024 17:13:32,7.7,0,19,0,03/04/2024 17:14:18,7.7,0,17,0
03/04/2024 17:10:39,7.8,0,6,0,03/04/2024 17:11:16,7.8,0,9,0,03/04/2024 17:12:01,7.8,0,16,0,03/04/2024 17:12:46,7.8,0,19,0,03/04/2024 17:13:32,7.8,0,23,0,03/04/2024 17:14:18,7.8,0,23,0
03/04/2024 17:10:39,7.9,0,7,0,03/04/2024 17:11:16,7.9,0,9,0,03/04/2024 17:12:01,7.9,0,17,0,03/04/2024 17:12:46,7.9,0,19,0,03/04/2024 17:13:32,7.9,0,25,0,03/04/2024 17:14:18,7.9,0,20,0
03/04/2024 17:10:40,8,0,7,0,03/04/2024 17:11:17,8,0,9,0,03/04/2024 17:12:02,8,0,17,0,03/04/2024 17:12:47,8,0,19,0,03/04/2024 17:13:33,8,0,24,0,03/04/2024 17:14:19,8,0,17,0
03/04/2024 17:10:40,8.1,0,7,0,03/04/2024 17:11:17,8.1,0,9,0,03/04/2024 17:12:02,8.1,0,18,0,03/04/2024 17:12:47,8.1,0,18,0,03/04/2024 17:13:33,8.1,0,25,0,03/04/2024 17:14:19,8.1,0,11,0
03/04/2024 17:10:40,8.2,0,7,0,03/04/2024 17:11:17,8.2,0,9,0,03/04/2024 17:12:02,8.2,0,17,0,03/04/2024 17:12:47,8.2,0,18,0,03/04/2024 17:13:33,8.2,0,25,0,03/04/2024 17:14:19,8.2,0,20,0
03/04/2024 17:10:40,8.3,0,7,0,03/04/2024 17:11:17,8.3,0,9,0,03/04/2024 17:12:02,8.3,0,17,0,03/04/2024 17:12:47,8.3,0,18,0,03/04/2024 17:13:33,8.3,0,25,0,03/04/2024 17:14:19,8.3,0,22,0
03/04/2024 17:10:40,8.4,0,7,0,03/04/2024 17:11:17,8.4,0,9,0,03/04/2024 17:12:02,8.4,0,17,0,03/04/2024 17:12:47,8.4,0,19,0,03/04/2024 17:13:33,8.4,0,23,0,03/04/2024 17:14:19,8.4,0,19,0
03/04/2024 17:10:40,8.5,0,7,0,03/04/2024 17:11:17,8.5,0,9,0,03/04/2024 17:12:02,8.5,0,17,0,03/04/2024 17:12:47,8.5,0,18,0,03/04/2024 17:13:33,8.5,0,23,0,03/04/2024 17:14:19,8.5,0,14,0
03/04/2024 17:10:40,8.6,0,7,0,03/04/2024 17:11:17,8.6,0,9,0,03/04/2024 17:12:02,8.6,0,16,0,03/04/2024 17:12:47,8.6,0,18,0,03/04/2024 17:13:33,8.6,0,23,0,03/04/2024 17:14:19,8.6,0,17,0
03/04/2024 17:10:40,8.7,0,7,0,03/04/2024 17:11:17,8.7,0,8,0,03/04/2024 17:12:02,8.7,0,16,0,03/04/2024 17:12:47,8.7,0,18,0,03/04/2024 17:13:33,8.7,0,24,0,03/04/2024 17:14:19,8.7,0,22,0
03/04/2024 17:10:40,8.8,0,7,0,03/04/2024 17:11:17,8.8,0,9,0,03/04/2024 17:12:02,8.8,0,16,0,03/04/2024 17:12:47,8.8,0,18,0,03/04/2024 17:13:33,8.8,0,24,0,03/04/2024 17:14:19,8.8,0,21,0
03/04/2024 17:10:40,8.9,0,7,0,03/04/2024 17:11:17,8.9,0,8,0,03/04/2024 17:12:02,8.9,0,16,0,03/04/2024 17:12:47,8.9,0,18,0,03/04/2024 17:13:33,8.9,0,24,0,03/04/2024 17:14:19,8.9,0,19,0
03/04/2024 17:10:41,9,0,7,0,03/04/2024 17:11:18,9,0,8,0,03/04/2024 17:12:03,9,0,16,0,03/04/2024 17:12:48,9,0,18,0,03/04/2024 17:13:34,9,0,24,0,03/04/2024 17:14:20,9,0,15,0
03/04/2024 17:10:41,9.1,0,7,0,03/04/2024 17:11:18,9.1,0,9,0,03/04/2024 17:12:03,9.1,0,16,0,03/04/2024 17:12:48,9.1,0,18,0,03/04/2024 17:13:34,9.1,0,24,0,03/04/2024 17:14:20,9.1,0,14,0
